operating_day,line_id,stop_id,arrival,departure,vehicle_seats,passengers,hari,day_of_week,jenis_hari,jam,jam_kategori,tanggal,occupancy_rate,cuaca,biaya_operasional,prioritas_rute,is_peak_hour
2026-01-05,LRT-02,STOP-004,2026-01-05 18:04:00,2026-01-05 18:12:00,50,79,Monday,0,Weekday,18,Sore Sibuk,2026-01-05,158.0,Hujan Ringan,750000.0,Tinggi,1
2026-01-05,BUS-12,STOP-003,2026-01-05 14:41:00,2026-01-05 14:48:00,60,23,Monday,0,Weekday,14,Siang,2026-01-05,38.333333333333336,Hujan Ringan,750000.0,Rendah,0
2026-02-07,LRT-02,STOP-007,2026-02-07 13:42:00,2026-02-07 13:50:00,45,49,Saturday,5,Weekend,13,Siang,2026-02-07,108.88888888888889,Hujan Ringan,750000.0,Tinggi,0
2026-02-07,MRT-01,STOP-002,2026-02-07 14:12:00,2026-02-07 14:22:00,50,61,Saturday,5,Weekend,14,Siang,2026-02-07,122.0,Hujan,750000.0,Tinggi,0
2026-02-08,BRT-02,STOP-002,2026-02-08 19:38:00,2026-02-08 19:43:00,60,24,Sunday,6,Weekend,19,Sore Sibuk,2026-02-08,40.0,Berawan,750000.0,Rendah,1
2026-02-13,BUS-12,STOP-008,2026-02-13 13:42:00,2026-02-13 13:47:00,60,22,Friday,4,Weekday,13,Siang,2026-02-13,36.666666666666664,Berawan,750000.0,Rendah,0
2026-01-23,LRT-02,STOP-007,2026-01-23 05:50:00,2026-01-23 05:59:00,35,45,Friday,4,Weekday,5,Dini Hari,2026-01-23,128.57142857142858,Berawan,750000.0,Tinggi,0
2026-02-13,BRT-02,STOP-004,2026-02-13 12:20:00,2026-02-13 12:29:00,80,34,Friday,4,Weekday,12,Siang,2026-02-13,42.5,Cerah,1500000.0,Rendah,0
2026-01-21,BUS-07,STOP-016,2026-01-21 07:31:00,2026-01-21 07:39:00,50,47,Wednesday,2,Weekday,7,Pagi Sibuk,2026-01-21,94.0,Berawan,750000.0,Tinggi,1
2026-01-20,BUS-07,STOP-015,2026-01-20 07:38:00,2026-01-20 07:47:00,60,63,Tuesday,1,Weekday,7,Pagi Sibuk,2026-01-20,105.0,Cerah,750000.0,Tinggi,1
2026-01-20,BUS-12,STOP-011,2026-01-20 19:13:00,2026-01-20 19:21:00,45,29,Tuesday,1,Weekday,19,Sore Sibuk,2026-01-20,64.44444444444444,Cerah,750000.0,Sedang,1
2026-01-07,BRT-02,STOP-012,2026-01-07 19:00:00,2026-01-07 19:09:00,80,30,Wednesday,2,Weekday,19,Sore Sibuk,2026-01-07,37.5,Berawan,1500000.0,Rendah,1
2026-01-22,BRT-02,STOP-001,2026-01-22 17:27:00,2026-01-22 17:34:00,60,51,Thursday,3,Weekday,17,Sore Sibuk,2026-01-22,85.0,Cerah,750000.0,Tinggi,1
2026-01-07,BRT-01,STOP-010,2026-01-07 09:36:00,2026-01-07 09:46:00,50,58,Wednesday,2,Weekday,9,Pagi Sibuk,2026-01-07,115.99999999999999,Hujan,750000.0,Tinggi,1
2026-01-04,LRT-02,STOP-014,2026-01-04 18:04:00,2026-01-04 18:11:00,60,77,Sunday,6,Weekend,18,Sore Sibuk,2026-01-04,128.33333333333334,Cerah,750000.0,Tinggi,1
2026-01-14,BRT-01,STOP-007,2026-01-14 15:24:00,2026-01-14 15:28:00,45,57,Wednesday,2,Weekday,15,Siang,2026-01-14,126.66666666666666,Berawan,750000.0,Tinggi,0
2026-02-14,BRT-01,STOP-016,2026-02-14 20:47:00,2026-02-14 20:51:00,45,35,Saturday,5,Weekend,20,Malam,2026-02-14,77.77777777777779,Berawan,750000.0,Sedang,0
2026-01-14,LRT-02,STOP-012,2026-01-14 12:30:00,2026-01-14 12:41:00,35,41,Wednesday,2,Weekday,12,Siang,2026-01-14,117.14285714285715,Hujan Ringan,750000.0,Tinggi,0
2026-01-19,MRT-01,STOP-002,2026-01-19 12:18:00,2026-01-19 12:20:00,80,49,Monday,0,Weekday,12,Siang,2026-01-19,61.25000000000001,Cerah,1500000.0,Sedang,0
2026-01-05,BUS-07,STOP-009,2026-01-05 18:25:00,2026-01-05 18:36:00,60,51,Monday,0,Weekday,18,Sore Sibuk,2026-01-05,85.0,Hujan Ringan,750000.0,Tinggi,1
2026-02-12,MRT-01,STOP-005,2026-02-12 07:09:00,2026-02-12 07:14:00,60,94,Thursday,3,Weekday,7,Pagi Sibuk,2026-02-12,156.66666666666666,Hujan Ringan,750000.0,Tinggi,1
2026-01-14,LRT-02,STOP-003,2026-01-14 17:19:00,2026-01-14 17:24:00,60,52,Wednesday,2,Weekday,17,Sore Sibuk,2026-01-14,86.66666666666667,Hujan,750000.0,Tinggi,1
2026-01-16,MRT-01,STOP-013,2026-01-16 22:25:00,2026-01-16 22:29:00,80,46,Friday,4,Weekday,22,Malam,2026-01-16,57.49999999999999,Hujan Ringan,1500000.0,Rendah,0
2026-02-13,BUS-07,STOP-005,2026-02-13 09:39:00,2026-02-13 09:48:00,45,15,Friday,4,Weekday,9,Pagi Sibuk,2026-02-13,33.33333333333333,Berawan,750000.0,Rendah,1
2026-01-04,MRT-01,STOP-013,2026-01-04 06:38:00,2026-01-04 06:42:00,80,67,Sunday,6,Weekend,6,Pagi Sibuk,2026-01-04,83.75,Cerah,1500000.0,Sedang,1
2026-01-14,LRT-02,STOP-013,2026-01-14 19:09:00,2026-01-14 19:11:00,50,22,Wednesday,2,Weekday,19,Sore Sibuk,2026-01-14,44.0,Berawan,750000.0,Rendah,1
